id,name,set,series,generation,publisher,release_date,release_year,artist,supertype,rarity,primary_type,types_display,hp,retreat_cost,set_number
base1-1,Alakazam,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Psychic,Psychic,80.0,3.0,1/102
base1-2,Blastoise,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Water,Water,100.0,3.0,2/102
base1-3,Chansey,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Colorless,Colorless,120.0,1.0,3/102
base1-4,Charizard,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Holo Rare,Fire,Fire,120.0,3.0,4/102
base1-5,Clefairy,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Colorless,Colorless,40.0,1.0,5/102
base1-6,Gyarados,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Holo Rare,Water,Water,100.0,3.0,6/102
base1-7,Hitmonchan,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Fighting,Fighting,70.0,2.0,7/102
base1-8,Machamp,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Fighting,Fighting,100.0,3.0,8/102
base1-9,Magneton,Base,Base,First,WOTC,1999-01-09,1999,Keiji Kinebuchi,Pokémon,Holo Rare,Lightning,Lightning,60.0,1.0,9/102
base1-10,Mewtwo,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Psychic,Psychic,60.0,3.0,10/102
base1-11,Nidoking,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Grass,Grass,90.0,3.0,11/102
base1-12,Ninetales,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Fire,Fire,80.0,1.0,12/102
base1-13,Poliwrath,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Water,Water,90.0,3.0,13/102
base1-14,Raichu,Base,Base,First,WOTC,1999-01-09,1999,Ken Sugimori,Pokémon,Holo Rare,Lightning,Lightning,80.0,1.0,14/102
base1-15,Venusaur,Base,Base,First,WOTC,1999-01-09,1999,Mitsuhiro Arita,Pokémon,Holo Rare,Grass,Grass,100.0,2.0,15/102
